Feature ID	Taxon
a0256_CP014265.1_mrtA_product_or_note_1_Methanobrevibacter_olleyae	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobrevibacter (mrtA);s__Methanobrevibacter olleyae (mrtA)
a0065_AB703643.1_mcrA_Methanofollis_ethanolicus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis ethanolicus
a0555_MG136701.1_mcrA_Methanobrevibacter_smithii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii
a0380_FMID01000057.1_mcrA_product_or_note_1_Methanoculleus_chikugoensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus chikugoensis
a0493_LGGD01000061.1_mcrA_product_or_note_1_Methanoculleus_marisnigri	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus marisnigri
a0500_LIHK01000056.1_mcrA_gene_1_Candidatus_Bathyarchaeota_archaeon	d__Archaea;k__Candidatus Bathyarchaeota;p__Candidatus Bathyarchaeota incertae sedis;c__Candidatus Bathyarchaeota incertae sedis;o__Candidatus Bathyarchaeota incertae sedis;f__Candidatus Bathyarchaeota incertae sedis;g__Candidatus Bathyarchaeota incertae sedis;s__Candidatus Bathyarchaeota archaeon
a0433_KC865051.1_mcrA_Methanobrevibacter_wolinii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter wolinii
a0078_AE009439.1_mcrA_gene_1_Methanopyrus_kandleri	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
a1174_NZ_MBKP01000024.1_mcrA_gene_1_Methanolobus_psychrotolerans	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrotolerans
a0583_MVRB01000160.1_mcrA_gene_1_Methanomassiliicoccales_archaeon	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales incertae sedis;g__Methanomassiliicoccales incertae sedis;s__Methanomassiliicoccales archaeon
a1179_NZ_PGCL01000001.1_mcrA_gene_1_Methanofollis_fontis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis fontis
a0145_AY289753.1_mrtA_Methanothermobacter_thermophilus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter thermophilus (mrtA)
a0094_AF414043.1_mcrA_Methanosarcina_mazei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
a0951_NZ_JAPTGC010000009.1_mcrA_gene_1_Methanocorpusculum_vombati	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum vombati
a0393_FZMP01000185.1_mcrA_gene_1_Candidatus_Methanoperedens_nitroreducens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Methanoperedentaceae;s__Candidatus Methanoperedens nitroreducens
